epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4569.34,1.08044,0.45513,0.01099,0.86883,0.84706,0.86634,0.66808,1.49602,0.89386,0.01955,0.000195625,0.000195625,0.000195625
67,4637.9,1.08704,0.45346,0.0111,0.90453,0.80397,0.87924,0.67329,1.51202,0.90245,0.01971,0.00018325,0.00018325,0.00018325
68,4706.51,1.06153,0.44224,0.01089,0.87454,0.84884,0.87001,0.67349,1.48767,0.90622,0.01925,0.000170875,0.000170875,0.000170875
69,4775.09,1.06277,0.44487,0.01081,0.89478,0.83568,0.8712,0.67597,1.49364,0.90549,0.01942,0.0001585,0.0001585,0.0001585
70,4844.27,1.06776,0.45306,0.01078,0.89256,0.82275,0.86721,0.67163,1.48855,0.92736,0.01931,0.000146125,0.000146125,0.000146125
71,4915.27,1.06903,0.45127,0.01093,0.90037,0.8236,0.87118,0.675,1.49225,0.90803,0.01941,0.00013375,0.00013375,0.00013375
72,4984.52,1.06231,0.43954,0.01075,0.87881,0.8394,0.8667,0.67139,1.4881,0.93311,0.01937,0.000121375,0.000121375,0.000121375
73,5053.67,1.04993,0.43802,0.01054,0.89085,0.84797,0.86767,0.67083,1.50161,0.91079,0.01952,0.000109,0.000109,0.000109
74,5122.81,1.04508,0.43749,0.01052,0.8854,0.82992,0.86953,0.67363,1.49246,0.92205,0.0194,9.6625e-05,9.6625e-05,9.6625e-05
75,5191.77,1.05275,0.44108,0.01078,0.88826,0.82396,0.86804,0.67066,1.4963,0.93064,0.01938,8.425e-05,8.425e-05,8.425e-05
76,5260.47,1.03749,0.43191,0.01054,0.91211,0.80327,0.86395,0.67109,1.48423,0.92978,0.0192,7.1875e-05,7.1875e-05,7.1875e-05
77,5329.37,1.03199,0.42349,0.01032,0.89449,0.82045,0.86935,0.67306,1.49193,0.92267,0.01936,5.95e-05,5.95e-05,5.95e-05
78,5399.09,1.03617,0.43564,0.01038,0.89543,0.83166,0.8695,0.67486,1.49042,0.91784,0.01931,4.7125e-05,4.7125e-05,4.7125e-05
79,5468.45,1.02397,0.41933,0.01012,0.90158,0.80755,0.86609,0.67389,1.48412,0.92768,0.01918,3.475e-05,3.475e-05,3.475e-05
80,5537.25,1.02903,0.43163,0.01032,0.90179,0.82097,0.86788,0.67306,1.48505,0.93171,0.01919,2.2375e-05,2.2375e-05,2.2375e-05
